CO2pl_Density,CO2_p1_number_density
CO2pl_Temperature,CO2_p1_temperature
CO2pl_Ux,CO2_p1_velocity_x
CO2pl_Uy,CO2_p1_velocity_y
CO2pl_Uz,CO2_p1_velocity_z
Elew_Ex,electric_field_x
Elew_Ey,electric_field_y
Elew_Ez,electric_field_z
Hesw_Density,He_number_density
Hesw_Temperature,He_temperature
Hesw_Ux,He_velocity_x
Hesw_Uy,He_velocity_y
Hesw_Uz,He_velocity_z
Hpl_Density,H_p1_number_density
Hpl_Temperature,H_p1_temperature
Hpl_Ux,H_p1_velocity_x
Hpl_Uy,H_p1_velocity_y
Hpl_Uz,H_p1_velocity_z
Hsw_Density,H_number_density
Hsw_Temperature,H_temperature
Hsw_Ux,H_velocity_x
Hsw_Uy,H_velocity_y
Hsw_Uz,H_velocity_z
Magw_Bx,magnetic_field_x
Magw_By,magnetic_field_y
Magw_Bz,magnetic_field_z
O2pl_Density,O2_p1_number_density
O2pl_Temperature,O2_p1_temperature
O2pl_Ux,O2_p1_velocity_x
O2pl_Uy,O2_p1_velocity_y
O2pl_Uz,O2_p1_velocity_z
Opl_Density,O_p1_number_density
Opl_Temperature,O_p1_temperature
Opl_Ux,O_p1_velocity_x
Opl_Uy,O_p1_velocity_y
Opl_Uz,O_p1_velocity_z
Thew_Density,electron_number_density
Thew_Temperature,electron_temperature
Thew_Ux,electron_velocity_x
Thew_Uy,electron_velocity_y
Thew_Uz,electron_velocity_z
x,x
y,y
z,z
